customer_id,name,dob,city,account_type,join_date
1,Sarah Hughes,1994-01-20,East Nicoleburgh,Savings,2020-07-29
2,Michael Sanchez,1968-03-04,Kristenburgh,Salary,2015-12-23
3,Joseph Wells,1995-10-08,Carrtown,Salary,2022-12-26
4,Bonnie Scott,1962-09-13,North Rachelberg,Salary,2021-04-20
5,Randall Smith,1965-12-30,Jennifermouth,Fixed Deposit,2020-03-11
6,Shari Proctor,1968-06-08,West Williammouth,Salary,2017-07-21
7,Sabrina Taylor,1955-10-24,Port Jasonview,Savings,2018-07-16
8,David Olson,1994-10-14,South Robertamouth,Salary,2023-10-09
9,Richard Tyler,2003-12-26,Finleyside,Current,2021-12-06
10,Brittany Townsend,1973-05-21,New Jaredport,Current,2020-10-31
11,Eric Lamb,1993-01-19,Vincentshire,Savings,2018-12-18
12,Sheri Dixon,1997-09-10,Laurafort,Savings,2023-06-01
13,Maria Nguyen,1963-10-21,Meyersfort,Fixed Deposit,2019-07-15
14,Marvin Hart,1994-04-03,Lisashire,Salary,2018-01-28
15,Lee Hicks,1994-03-02,Weberbury,Savings,2023-01-10
16,Gregory Hernandez,1980-08-12,Amandaberg,Savings,2021-08-17
17,Colleen Scott,1987-12-10,Carolynside,Salary,2019-05-06
18,Lisa Webb,2001-06-07,North Bonnie,Current,2019-07-18
19,Kelsey Walter,1969-08-15,Andersonstad,Savings,2023-08-13
20,Diane Hoffman,1969-02-20,East Jamie,Savings,2025-07-25
21,Kristina Vargas,1978-12-01,Angelaport,Salary,2020-03-13
22,Amy Hayden,1983-11-20,East Traceyside,Savings,2025-01-14
23,Wayne Thomas,1964-05-23,West Paula,Fixed Deposit,2017-03-22
24,Hannah Wilson,1997-08-26,Smithbury,Current,2022-06-24
25,Wendy Greene,2004-08-23,West Marvinmouth,Current,2024-05-25
26,Diana Graves,2002-01-26,West Lisa,Salary,2018-11-18
27,John Robinson,1967-10-15,Lindashire,Savings,2016-06-14
28,Hannah Brown,1980-08-03,Lake Sarah,Fixed Deposit,2016-09-12
29,Debbie Perez,1957-10-22,South Elizabethfort,Salary,2017-10-02
30,Pamela Gordon,1990-07-17,Pattymouth,Current,2016-01-03
31,James Ochoa,1989-07-31,Lisamouth,Fixed Deposit,2016-02-08
32,Sheila Chapman,1991-07-06,Bowerschester,Fixed Deposit,2018-07-20
33,James Cain,1990-07-24,Alexanderfort,Current,2020-04-27
34,Willie Davis,1958-10-17,Lake Johnshire,Current,2025-07-09
35,Cynthia Brooks,1978-12-07,West Andrea,Fixed Deposit,2016-10-06
36,William Newman,1989-01-04,Lake Jennifer,Salary,2025-01-09
37,Elizabeth Smith,1991-06-06,Jamesbury,Salary,2020-04-21
